fold,best_params,precision,recall,f1,accuracy,FNR
1,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 4.001712328767123, 'xgb__subsample': 0.7799962261085898}",0.24584717607973422,0.3627450980392157,0.7443875073877211,0.7243243243243244,0.6372549019607843
2,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 4.001712328767123, 'xgb__subsample': 0.7799962261085898}",0.24,0.35294117647058826,0.7420864228150901,0.722007722007722,0.6470588235294117
3,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 4.001712328767123, 'xgb__subsample': 0.7799962261085898}",0.22058823529411764,0.29411764705882354,0.7403111450415141,0.7250965250965251,0.7058823529411764
4,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 4.001712328767123, 'xgb__subsample': 0.7799962261085898}",0.24372759856630824,0.33170731707317075,0.7470960198232925,0.7312741312741313,0.6682926829268292
5,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 5.335616438356165, 'xgb__subsample': 0.3821561339972655}",0.18401937046004843,0.37073170731707317,0.6817333181972108,0.6401544401544401,0.6292682926829268
