fold,best_params,precision,recall,f1,accuracy,FNR
1,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 10.649647887323944, 'xgb__subsample': 0.7799962261085898}",0.11894273127753303,0.3176470588235294,0.839899825632925,0.8007722007722008,0.6823529411764706
2,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 10.649647887323944, 'xgb__subsample': 0.7799962261085898}",0.09865470852017937,0.25882352941176473,0.8356450854259794,0.7961389961389962,0.7411764705882353
3,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 10.649647887323944, 'xgb__subsample': 0.7799962261085898}",0.08583690987124463,0.23529411764705882,0.8282913099880944,0.7853281853281854,0.7647058823529411
4,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 10.649647887323944, 'xgb__subsample': 0.7799962261085898}",0.09433962264150944,0.23529411764705882,0.8384793173279872,0.8015444015444015,0.7647058823529411
5,"{'xgb__colsample_bytree': 0.3253524923335095, 'xgb__gamma': 0.1590373696250477, 'xgb__learning_rate': 0.12871575577588695, 'xgb__max_depth': 3, 'xgb__n_estimators': 383, 'xgb__scale_pos_weight': 10.649647887323944, 'xgb__subsample': 0.9135442116320804}",0.07633587786259542,0.23255813953488372,0.8129697694249048,0.7621621621621621,0.7674418604651163
