fold,best_params,precision,recall,f1,accuracy,FNR
1,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 1.502899110939312, 'xgb__subsample': 0.3821561339972655}",0.4138486312399356,0.49709864603481624,0.5229081649276568,0.5181467181467182,0.5029013539651838
2,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 1.502899110939312, 'xgb__subsample': 0.3821561339972655}",0.388560157790927,0.38104448742746616,0.5126913686315626,0.5135135135135135,0.6189555125725339
3,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 1.502899110939312, 'xgb__subsample': 0.3821561339972655}",0.42071197411003236,0.5029013539651838,0.5297436874892708,0.525096525096525,0.49709864603481624
4,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 1.502899110939312, 'xgb__subsample': 0.3821561339972655}",0.4010507880910683,0.4420849420849421,0.5159958864277198,0.5127413127413127,0.5579150579150579
5,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 1.502899110939312, 'xgb__subsample': 0.3821561339972655}",0.38972809667673713,0.4980694980694981,0.49236206274792643,0.48725868725868726,0.5019305019305019
