fold,best_params,precision,recall,f1,accuracy,FNR
1,"{'xgb__learning_rate': 0.606656863679434, 'xgb__n_estimators': 184}",0.1048158640226629,0.30327868852459017,0.7487318411036216,0.6903474903474903,0.6967213114754098
2,"{'xgb__learning_rate': 0.088758926360587, 'xgb__n_estimators': 163}",0.08728179551122195,0.28688524590163933,0.7198890370289049,0.6501930501930502,0.7131147540983607
3,"{'xgb__learning_rate': 0.2050541914059188, 'xgb__n_estimators': 180}",0.08732394366197183,0.2540983606557377,0.7401362682863544,0.6795366795366795,0.7459016393442623
4,"{'xgb__learning_rate': 0.6260543775607726, 'xgb__n_estimators': 121}",0.09734513274336283,0.27049180327868855,0.7512247371091614,0.694980694980695,0.7295081967213115
5,"{'xgb__learning_rate': 0.19582605480798962, 'xgb__n_estimators': 106}",0.09397590361445783,0.32231404958677684,0.7180156098822261,0.6463320463320463,0.6776859504132231
