fold,best_params,precision,recall,f1,accuracy,FNR
1,"{'xgb__learning_rate': 0.2050541914059188, 'xgb__n_estimators': 180}",0.20702402957486138,0.3783783783783784,0.5628414537602474,0.5266409266409267,0.6216216216216216
2,"{'xgb__learning_rate': 0.19582605480798962, 'xgb__n_estimators': 106}",0.24543610547667344,0.40878378378378377,0.6072369917812775,0.5776061776061776,0.5912162162162162
3,"{'xgb__learning_rate': 0.3828545147504294, 'xgb__n_estimators': 50}",0.19771863117870722,0.35135135135135137,0.5613609733618321,0.5258687258687259,0.6486486486486487
4,"{'xgb__learning_rate': 0.5686100390512191, 'xgb__n_estimators': 161}",0.22437137330754353,0.3918918918918919,0.584431519047886,0.5513513513513514,0.6081081081081081
5,"{'xgb__learning_rate': 0.6996701670563736, 'xgb__n_estimators': 88}",0.2575107296137339,0.40540540540540543,0.623131982681596,0.5969111969111969,0.5945945945945945
