fold,best_params,precision,recall,f1,accuracy,FNR
1,"{'xgb__learning_rate': 0.6260543775607726, 'xgb__n_estimators': 121}",0.4161184210526316,0.48936170212765956,0.5264943601817322,0.522007722007722,0.5106382978723405
2,"{'xgb__learning_rate': 0.6996701670563736, 'xgb__n_estimators': 88}",0.41372141372141374,0.3849129593810445,0.5335616033292795,0.5366795366795367,0.6150870406189555
3,"{'xgb__learning_rate': 0.7579423061432639, 'xgb__n_estimators': 181}",0.4110032362459547,0.4912959381044487,0.5205679545622323,0.5158301158301158,0.5087040618955513
4,"{'xgb__learning_rate': 0.7579423061432639, 'xgb__n_estimators': 181}",0.4112478031634446,0.4517374517374517,0.5251113228923937,0.522007722007722,0.5482625482625483
5,"{'xgb__learning_rate': 0.7579423061432639, 'xgb__n_estimators': 181}",0.4,0.4671814671814672,0.5110456762943255,0.5065637065637065,0.5328185328185329
