fold,best_params,precision,recall,f1,accuracy,FNR
1,"{'xgb__learning_rate': 0.19582605480798962, 'xgb__n_estimators': 106}",0.20813397129186603,0.4264705882352941,0.6947566027324478,0.654054054054054,0.5735294117647058
2,"{'xgb__learning_rate': 0.2050541914059188, 'xgb__n_estimators': 180}",0.19315403422982885,0.3872549019607843,0.6891820193055195,0.6486486486486487,0.6127450980392157
3,"{'xgb__learning_rate': 0.19582605480798962, 'xgb__n_estimators': 106}",0.19471153846153846,0.39705882352941174,0.6877680084819433,0.6463320463320463,0.6029411764705883
4,"{'xgb__learning_rate': 0.2050541914059188, 'xgb__n_estimators': 180}",0.18114143920595532,0.35784313725490197,0.6845067016899918,0.644015444015444,0.642156862745098
5,"{'xgb__learning_rate': 0.19851009258623806, 'xgb__n_estimators': 194}",0.18686868686868688,0.36097560975609755,0.6889823567909112,0.6501930501930502,0.6390243902439025
