fold,best_params,precision,recall,f1,accuracy,FNR
1,"{'xgb__learning_rate': 0.19851009258623806, 'xgb__n_estimators': 194}",0.07262569832402235,0.3058823529411765,0.7719063989759306,0.698069498069498,0.6941176470588235
2,"{'xgb__learning_rate': 0.606656863679434, 'xgb__n_estimators': 184}",0.064343163538874,0.2823529411764706,0.7615567484563118,0.6833976833976834,0.7176470588235294
3,"{'xgb__learning_rate': 0.7579423061432639, 'xgb__n_estimators': 181}",0.0771513353115727,0.3058823529411765,0.7829886051060917,0.7142857142857143,0.6941176470588235
4,"{'xgb__learning_rate': 0.7579423061432639, 'xgb__n_estimators': 181}",0.07973421926910298,0.2823529411764706,0.7992334631323564,0.738996138996139,0.7176470588235294
5,"{'xgb__learning_rate': 0.19582605480798962, 'xgb__n_estimators': 106}",0.052054794520547946,0.22093023255813954,0.7589276734557752,0.6810810810810811,0.7790697674418605
