fold,best_params,precision,recall,f1,accuracy,FNR
1,"{'xgb__learning_rate': 0.19582605480798962, 'xgb__n_estimators': 106}",0.19213973799126638,0.43137254901960786,0.6719862270808103,0.6247104247104247,0.5686274509803921
2,"{'xgb__learning_rate': 0.088758926360587, 'xgb__n_estimators': 163}",0.20869565217391303,0.47058823529411764,0.6815593143934547,0.6355212355212355,0.5294117647058824
3,"{'xgb__learning_rate': 0.088758926360587, 'xgb__n_estimators': 163}",0.18284424379232506,0.39705882352941174,0.6716215849195093,0.6254826254826255,0.6029411764705883
4,"{'xgb__learning_rate': 0.19851009258623806, 'xgb__n_estimators': 194}",0.19170984455958548,0.36097560975609755,0.694811536323663,0.6579150579150579,0.6390243902439025
5,"{'xgb__learning_rate': 0.3828545147504294, 'xgb__n_estimators': 50}",0.18453865336658354,0.36097560975609755,0.6860563882082567,0.6463320463320463,0.6390243902439025
