fold,best_params,precision,recall,f1,accuracy,FNR
1,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 55.71802325581396, 'xgb__subsample': 0.7799962261085898}",0.01904761904761905,0.23529411764705882,0.895873061716153,0.8308880308880309,0.7647058823529411
2,"{'xgb__colsample_bytree': 0.5064543369180614, 'xgb__gamma': 0.37173034138371164, 'xgb__learning_rate': 0.20397510005039515, 'xgb__max_depth': 3, 'xgb__n_estimators': 328, 'xgb__scale_pos_weight': 18.572674418604652, 'xgb__subsample': 0.9821047615363967}",0.0,0.0,0.9634684939032765,0.9536679536679536,1.0
3,"{'xgb__colsample_bytree': 0.6043568570763409, 'xgb__gamma': 0.9517986223887481, 'xgb__learning_rate': 0.13543890252388407, 'xgb__max_depth': 3, 'xgb__n_estimators': 332, 'xgb__scale_pos_weight': 18.572674418604652, 'xgb__subsample': 0.9260840381883872}",0.0,0.0,0.9713922325687032,0.9691119691119691,1.0
4,"{'xgb__colsample_bytree': 0.4517088155379368, 'xgb__gamma': 0.518722019865265, 'xgb__learning_rate': 0.13285655883342876, 'xgb__max_depth': 3, 'xgb__n_estimators': 358, 'xgb__scale_pos_weight': 37.145348837209305, 'xgb__subsample': 0.5517190540915315}",0.020618556701030927,0.11764705882352941,0.9434899084588736,0.915057915057915,0.8823529411764706
5,"{'xgb__colsample_bytree': 0.5064543369180614, 'xgb__gamma': 0.37173034138371164, 'xgb__learning_rate': 0.20397510005039515, 'xgb__max_depth': 3, 'xgb__n_estimators': 328, 'xgb__scale_pos_weight': 18.572674418604652, 'xgb__subsample': 0.9821047615363967}",0.024390243902439025,0.05555555555555555,0.9643638462930093,0.955984555984556,0.9444444444444444
