fold,best_params,precision,recall,f1,accuracy,FNR
1,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 4.006366307541626, 'xgb__subsample': 0.7799962261085898}",0.2589641434262948,0.31862745098039214,0.7592343095855977,0.749034749034749,0.6813725490196079
2,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 4.006366307541626, 'xgb__subsample': 0.7799962261085898}",0.23270440251572327,0.3627450980392157,0.7347726407887817,0.7111969111969112,0.6372549019607843
3,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 4.006366307541626, 'xgb__subsample': 0.7799962261085898}",0.22535211267605634,0.3137254901960784,0.7395039214383788,0.722007722007722,0.6862745098039216
4,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 5.341821743388834, 'xgb__subsample': 0.3821561339972655}",0.18246445497630331,0.37745098039215685,0.6787565900896587,0.6355212355212355,0.6225490196078431
5,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 4.006366307541626, 'xgb__subsample': 0.7799962261085898}",0.23412698412698413,0.28780487804878047,0.7488009929358295,0.7382239382239382,0.7121951219512195
