fold,best_params,precision,recall,f1,accuracy,FNR
1,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 3.375, 'xgb__subsample': 0.3821561339972655}",0.2111111111111111,0.38513513513513514,0.5663611189266834,0.5305019305019305,0.6148648648648649
2,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 3.375, 'xgb__subsample': 0.3821561339972655}",0.2407108239095315,0.5033783783783784,0.5617083668309507,0.5235521235521235,0.4966216216216216
3,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 3.375, 'xgb__subsample': 0.3821561339972655}",0.21379310344827587,0.4189189189189189,0.5534911830815029,0.5150579150579151,0.5810810810810811
4,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 3.375, 'xgb__subsample': 0.3821561339972655}",0.23593073593073594,0.36824324324324326,0.6097793220824411,0.583011583011583,0.6317567567567568
5,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 3.375, 'xgb__subsample': 0.3821561339972655}",0.21711899791231734,0.35135135135135137,0.591782458011197,0.5621621621621622,0.6486486486486487
