fold,best_params,precision,recall,f1,accuracy,FNR
1,"{'xgb__colsample_bytree': 0.7640664495284486, 'xgb__gamma': 0.4876346704833222, 'xgb__learning_rate': 0.22593042822184672, 'xgb__max_depth': 3, 'xgb__n_estimators': 395, 'xgb__scale_pos_weight': 35.47222222222222, 'xgb__subsample': 0.40261527047497736}",0.02197802197802198,0.1111111111111111,0.9448770736946192,0.918918918918919,0.8888888888888888
2,"{'xgb__colsample_bytree': 0.5064543369180614, 'xgb__gamma': 0.37173034138371164, 'xgb__learning_rate': 0.20397510005039515, 'xgb__max_depth': 3, 'xgb__n_estimators': 328, 'xgb__scale_pos_weight': 17.73611111111111, 'xgb__subsample': 0.9821047615363967}",0.0,0.0,0.9658965956838297,0.9598455598455599,1.0
3,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 53.20833333333333, 'xgb__subsample': 0.7799962261085898}",0.021164021164021163,0.2222222222222222,0.9042901177842518,0.8463320463320463,0.7777777777777778
4,"{'xgb__colsample_bytree': 0.5064543369180614, 'xgb__gamma': 0.37173034138371164, 'xgb__learning_rate': 0.20397510005039515, 'xgb__max_depth': 3, 'xgb__n_estimators': 328, 'xgb__scale_pos_weight': 17.73611111111111, 'xgb__subsample': 0.9821047615363967}",0.02857142857142857,0.05555555555555555,0.9668018333400861,0.9606177606177606,0.9444444444444444
5,"{'xgb__colsample_bytree': 0.5064543369180614, 'xgb__gamma': 0.37173034138371164, 'xgb__learning_rate': 0.20397510005039515, 'xgb__max_depth': 3, 'xgb__n_estimators': 328, 'xgb__scale_pos_weight': 17.73611111111111, 'xgb__subsample': 0.9821047615363967}",0.0,0.0,0.9615161659482989,0.9513513513513514,1.0
