fold,best_params,precision,recall,f1,accuracy,FNR
1,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 12.133874239350913, 'xgb__subsample': 0.3821561339972655}",0.07518796992481203,0.30612244897959184,0.7404694277933714,0.6625482625482626,0.6938775510204082
2,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 12.133874239350913, 'xgb__subsample': 0.3821561339972655}",0.09004739336492891,0.3877551020408163,0.7371237458193979,0.6571428571428571,0.6122448979591837
3,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 12.133874239350913, 'xgb__subsample': 0.3821561339972655}",0.08653846153846154,0.36363636363636365,0.7370671671956033,0.6579150579150579,0.6363636363636364
4,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 12.133874239350913, 'xgb__subsample': 0.3821561339972655}",0.06465517241379311,0.30303030303030304,0.7025198850744044,0.6115830115830115,0.696969696969697
5,"{'xgb__colsample_bytree': 0.9840134829675653, 'xgb__gamma': 1.0440636313297216, 'xgb__learning_rate': 0.17903579482489707, 'xgb__max_depth': 4, 'xgb__n_estimators': 371, 'xgb__scale_pos_weight': 12.133874239350913, 'xgb__subsample': 0.3821561339972655}",0.07415730337078652,0.3333333333333333,0.7170607178434504,0.6308880308880309,0.6666666666666667
