fold,best_params,precision,recall,f1,accuracy,FNR
1,"{'xgb__colsample_bytree': 0.3253524923335095, 'xgb__gamma': 0.1590373696250477, 'xgb__learning_rate': 0.12871575577588695, 'xgb__max_depth': 3, 'xgb__n_estimators': 383, 'xgb__scale_pos_weight': 7.224137931034483, 'xgb__subsample': 0.9135442116320804}",0.12560386473429952,0.21311475409836064,0.8097111257565585,0.7861003861003861,0.7868852459016393
2,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 7.224137931034483, 'xgb__subsample': 0.7799962261085898}",0.13089005235602094,0.20491803278688525,0.8162192813950003,0.7969111969111969,0.7950819672131147
3,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 7.224137931034483, 'xgb__subsample': 0.7799962261085898}",0.1276595744680851,0.19672131147540983,0.8162920597046234,0.7976833976833977,0.8032786885245902
4,"{'xgb__colsample_bytree': 0.3253524923335095, 'xgb__gamma': 0.1590373696250477, 'xgb__learning_rate': 0.12871575577588695, 'xgb__max_depth': 3, 'xgb__n_estimators': 383, 'xgb__scale_pos_weight': 7.224137931034483, 'xgb__subsample': 0.9135442116320804}",0.13402061855670103,0.21311475409836064,0.8161363164803265,0.7961389961389962,0.7868852459016393
5,"{'xgb__colsample_bytree': 0.36140088883284394, 'xgb__gamma': 0.7833955197168099, 'xgb__learning_rate': 0.06769303305937369, 'xgb__max_depth': 3, 'xgb__n_estimators': 361, 'xgb__scale_pos_weight': 7.224137931034483, 'xgb__subsample': 0.7799962261085898}",0.12037037037037036,0.21487603305785125,0.8063026780068746,0.7799227799227799,0.7851239669421488
